FirstOccurrence,LastOccurrence,Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,PCAPName,MAC,IP,Function,Count,RiskScore
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,,,OPEN CONNECTION,1,6.7
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,,,STATE LIST,1,6.7
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,ARP_GRATUITOUS_REPLY,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ac:64:17:35:60:50,ARP,QBI-CjMKEwoHCNXnhduAEhoICLOh6rSzjAoSEwoHCNXnhduAEhoICNDA1bnBjCsaAwiGECIAKgAR6WRZNBsuBgA.pcap,28:63:36:9a:90:b3,,,1,3.4
2025-02-14 14:45:46.644309 +0000 UTC,2025-02-14 14:45:46.644309 +0000 UTC,TCP_TRAFFIC_AFTER_RESET,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,XBJaCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJuAAxHpZFk0Gy4GABgB.pcap,ac:64:17:35:60:50,172.16.106.31,,1,3.4
2025-02-14 14:45:46.644309 +0000 UTC,2025-02-14 14:45:46.644309 +0000 UTC,TCP_TRAFFIC_AFTER_RESET,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,XBJaCk0KHAoHCNXnhduAEhoICMWfjbjBjCsiBwoFDQ1qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJyAAxFKZVk0Gy4GABgB.pcap,ac:64:17:35:60:50,172.16.106.31,,1,3.4
2025-02-14 14:45:46.644309 +0000 UTC,2025-02-14 14:45:46.644309 +0000 UTC,ARP_GRATUITOUS_REPLY,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,ac:64:17:35:60:50,ARP,QBI-CjMKEwoHCNXnhduAEhoICMWfjbjBjCsSEwoHCNXnhduAEhoICNDA1bnBjCsaAwiGECIAKgAR_GRZNBsuBgA.pcap,ac:64:17:03:4f:c5,,,1,3.4
2025-02-14 14:45:46.644309 +0000 UTC,2025-02-14 14:45:46.644309 +0000 UTC,TCP_UNEXPECTED_SEQUENCE_NUMBER,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,XBJaCk0KHAoHCNXnhduAEhoICMWfjbjBjCsiBwoFDQ1qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJyAAxFKZVk0Gy4GABgB.pcap,ac:64:17:03:4f:c5,172.16.106.13,,1,3.4
2025-02-14 14:45:46.644318 +0000 UTC,2025-02-14 14:45:46.644318 +0000 UTC,TCP_RETRANSMISSION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,XBJaCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJuAAxHpZFk0Gy4GABgB.pcap,28:63:36:9a:90:b3,172.16.106.11,,1,3.4
2025-02-14 14:45:46.644412 +0000 UTC,2025-02-14 14:45:46.644412 +0000 UTC,ARP_GRATUITOUS_REQUEST,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,QBI-CjMKEwoHCNXnhduAEhoICLOh6rSzjAoSEwoHCNXnhduAEhoICP_______z8aAwiGECIAKgARu2BZNBsuBgA.pcap,28:63:36:9a:90:b3,,,1,3.4
2025-02-14 14:45:46.644532 +0000 UTC,2025-02-14 14:45:46.644532 +0000 UTC,CYCLIC_MESSAGE_MISSING,0.0.0.0,00:60:34:12:ab:7f,0.0.0.0,ac:64:17:03:4f:c5,Profinet,RhJECjkKFQoHCNXnhduAEhIBABoHCP_WyqCDDBIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgARwdJZNBsuBgA.pcap,00:60:34:12:ab:7f,,,1,3.4
