FirstOccurrence,LastOccurrence,Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,PCAPName,MAC,IP,Function,Count,RiskScore
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.22,DCE RPC READ RESPONSE,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.22,DCE RPC READ REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.12,DCE RPC READ RESPONSE,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.12,DCE RPC READ REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxFmsKNWCy4GABgB.pcap,,172.16.106.12,OPEN CONNECTION,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxFmsKNWCy4GABgB.pcap,,172.16.106.12,STATE LIST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPrbAhHpQwBfCy4GABgB.pcap,,172.16.106.14,PLC STOP,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.14,PLC CONTROL,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.14,DOWNLOAD REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.14,DOWNLOAD END,1,6.7
