Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,Packet Number
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,,,ACYCLIC IO ALARM HIGH,125
PROGRAM_UPLOAD,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,28:63:36:a9:de:e6,172.16.106.14,,121
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,54:e3:b0:00:55:b7,,,130
MAC_MAC,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,127
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,127
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,,,,130
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONNECT REQUEST,131
MAC_FUNCTION,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,28:63:36:9a:90:b3,,PN DCP IDENTIFY REQUEST,127
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,54:e3:b0:00:55:b1,,ACYCLIC IO ALARM LOW,124
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,54:e3:b0:00:55:b7,,REPLY,130
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,ACYCLIC IO ALARM LOW,123
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONNECT REQUEST,131
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,PN DCP IDENTIFY REQUEST,127
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,,,ACYCLIC IO ALARM LOW,124
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,,,ACYCLIC IO ALARM LOW,123
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,,,REPLY,130
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONNECT RESPONSE,132
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONTROL RESPONSE,134
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONTROL REQUEST,133
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONTROL RESPONSE,134
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONTROL REQUEST,133
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONNECT RESPONSE,132
MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,00:50:56:c0:00:01,,,135
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,00:50:56:c0:00:01,,,135
MAC_MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,,,,135
