Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,predictions
MAC_PROTOCOL,0.0.0.0,ac:64:17:35:60:50,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,ac:64:17:35:60:50,,,0
MAC_MAC,0.0.0.0,ac:64:17:35:60:50,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:35:60:50,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,,0
MAC_ACTIVE,0.0.0.0,ac:64:17:35:60:50,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,ac:64:17:35:60:50,,,0
IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,,0
IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,,0
IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.31,,0
MAC,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,ac:64:17:35:60:50,ARP,28:63:36:a9:ac:eb,,,0
MAC,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,ac:64:17:35:60:50,ARP,28:63:36:a9:de:e6,,,0
MAC_PROTOCOL,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,ac:64:17:35:60:50,ARP,28:63:36:a9:ac:eb,,,0
MAC_PROTOCOL,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,ac:64:17:35:60:50,ARP,28:63:36:a9:de:e6,,,0
IP_IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,,,0
IP_IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,,0
MAC_MAC,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
MAC_MAC,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
IP_MAC,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,,0
IP_MAC,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,,,0
IP_MAC,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,,,0
MAC_ACTIVE,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,ac:64:17:35:60:50,ARP,28:63:36:a9:ac:eb,,,0
MAC_ACTIVE,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,ac:64:17:35:60:50,ARP,28:63:36:a9:de:e6,,,0
IP_ACTIVE,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.31,,0
IP_ACTIVE,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,,1
IP_ACTIVE,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,,0
MAC,0.0.0.0,00:a0:45:9b:55:db,0.0.0.0,01:80:c2:00:00:0e,Profinet,00:a0:45:9b:55:db,,,0
MAC_PROTOCOL,0.0.0.0,00:a0:45:9b:55:db,0.0.0.0,01:80:c2:00:00:0e,Profinet,00:a0:45:9b:55:db,,,0
MAC_PROTOCOL,0.0.0.0,00:a0:45:9b:55:db,0.0.0.0,01:80:c2:00:00:0e,Profinet,01:80:c2:00:00:0e,,,0
MAC_MAC,0.0.0.0,00:a0:45:9b:55:db,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,00:a0:45:9b:55:db,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_ACTIVE,0.0.0.0,00:a0:45:9b:55:db,0.0.0.0,01:80:c2:00:00:0e,Profinet,00:a0:45:9b:55:db,,,0
PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,,,0
IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,,0
IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.31,,0
IP_IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,,,0
IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,,0
IP_IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,,0
MAC,0.0.0.0,00:60:34:12:ab:80,0.0.0.0,01:80:c2:00:00:0e,Profinet,00:60:34:12:ab:80,,,0
MAC_PROTOCOL,0.0.0.0,00:60:34:12:ab:80,0.0.0.0,01:80:c2:00:00:0e,Profinet,00:60:34:12:ab:80,,,0
MAC_MAC,0.0.0.0,00:60:34:12:ab:80,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,00:60:34:12:ab:80,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_ACTIVE,0.0.0.0,00:60:34:12:ab:80,0.0.0.0,01:80:c2:00:00:0e,Profinet,00:60:34:12:ab:80,,,0
MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,28:63:36:9a:90:b3,ARP,ac:64:17:03:4f:c5,,,0
MAC_MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,28:63:36:9a:90:b3,ARP,ac:64:17:03:4f:c5,,REPLY,0
MAC_MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,28:63:36:9a:90:b3,ARP,,,REPLY,0
MAC,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,ARP,54:e3:b0:00:55:b1,,,0
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,ARP,54:e3:b0:00:55:b1,,,0
